First Name,Surname,Country,Specialism,Reserve Price Rs Lakh, C A U
Shubham Singh,Rohilla,India,BATSMEN,20,Uncapped
Ganesh,Satish,India,BATSMEN,20,Uncapped
Naushad,Shaikh,India,BATSMEN,20,Uncapped
Pite,Van Biljon,South Africa,BATSMEN,20,Uncapped
Jake,Weatherald,Australia,BATSMEN,20,Uncapped
Iqbal,Abdullah,India,ALL_ROUNDERS,20,Uncapped
Shubham,Agrawal,India,ALL_ROUNDERS,20,Uncapped
Agnivesh,Ayachi,India,ALL_ROUNDERS,20,Uncapped
Jay,Bista,India,ALL_ROUNDERS,20,Uncapped
Harpreet ,Brar,India,ALL_ROUNDERS,20,Uncapped
Vinod ,C V,India,ALL_ROUNDERS,20,Uncapped
Akshay ,Chandran,India,ALL_ROUNDERS,20,Uncapped
Arun,Chaprana,India,ALL_ROUNDERS,20,Uncapped
Shiva,Chauhan,India,ALL_ROUNDERS,20,Uncapped
Ankit,Sharma,India,ALL_ROUNDERS,20,Uncapped
Jason,Smith,South Africa,ALL_ROUNDERS,20,Uncapped
Shadley,Van Schalkwyk,South Africa,ALL_ROUNDERS,20,Uncapped
Manzoor,Dar,India,ALL_ROUNDERS,20,Uncapped
Puneet,Datey,India,ALL_ROUNDERS,20,Uncapped
Pavan,Deshpande,India,ALL_ROUNDERS,20,Uncapped
Aakarshit,Gomel,India,ALL_ROUNDERS,20,Uncapped
Mehdi,Hasan,India,ALL_ROUNDERS,20,Uncapped
Akhil,Herwadkar,India,ALL_ROUNDERS,20,Uncapped
Venkatesh,Iyer,India,ALL_ROUNDERS,20,Uncapped
Dharmendrasinh,Jadeja,India,ALL_ROUNDERS,20,Uncapped
Anirudha,Joshi,India,ALL_ROUNDERS,20,Uncapped
Akshay,Karnewar,India,ALL_ROUNDERS,20,Uncapped
Aman,Khan,India,ALL_ROUNDERS,20,Uncapped
Shrikant,Mundhe,India,ALL_ROUNDERS,20,Uncapped
Shreekant,Wagh,India,ALL_ROUNDERS,20,Uncapped
Karanveer,Kaushal,India,ALL_ROUNDERS,20,Uncapped
Chirag,Khurana,India,ALL_ROUNDERS,20,Uncapped
Tanush,Kotian,India,ALL_ROUNDERS,20,Uncapped
Vishal ,Kushwah,India,ALL_ROUNDERS,20,Uncapped
Dhrumil,Matkar,India,ALL_ROUNDERS,20,Uncapped
Akul,Pandove,India,ALL_ROUNDERS,20,Uncapped
Suyash,Prabhudessai,India,ALL_ROUNDERS,20,Uncapped
Suryakant,Pradhan,India,ALL_ROUNDERS,20,Uncapped
